state,fy_label,fy_start_date,fy_start_type,signed_date,days_late,budget_enacted,date_precision,enactment_type,source,notes
Alabama,FY2015,2014-10-01,Oct 1,2014-04-11,-173,yes,exact,direct,NASBO Summaries of Fiscal Year 2015 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2015 enacted-budget narrative. Extracted quote: ""signed the Education Trust Fund Budget on April 11..."""
Alabama,FY2016,2015-10-01,Oct 1,2015-09-17,-14,yes,exact,direct,abc3340.com; ballotpedia; lexology.com,"Bentley signed the $1.76B FY2016 General Fund budget Sep 17, 2015, ending a stalemate that required two special sessions — two weeks before the Oct 1 fiscal year start."
Alabama,FY2017,2016-10-01,Oct 1,2016-04-21,-163,yes,exact,direct,NASBO Summaries of FY17 Proposed & Enacted Budgets (nasbo.org),"Bentley signed the $6.3B Education Trust Fund budget Apr 21, 2016 — largest ETF budget since 2008. AL FY starts Oct 1."
Alabama,FY2018,2017-10-01,Oct 1,2017-05-15,-139,yes,month-level estimate,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),Ivey signed the $6.4B FY2018 Education Trust Fund budget in May 2017; NASBO gives the month only. AL FY starts Oct 1.
Alabama,FY2019,2018-10-01,Oct 1,2018-04-02,-182,yes,exact,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),"Ivey signed the $6.6B FY2019 Education Trust Fund budget Apr 2, 2018 (+$216M over FY2018)."
Alabama,FY2020,2019-10-01,Oct 1,2019-06-15,-108,yes,month-level estimate,direct,NASBO Summaries of FY Proposed & Enacted Budgets (nasbo.org),Ivey signed the $7.1B FY2020 Education Trust Fund budget in June 2019; NASBO gives the month only.
Alabama,FY2021,2020-10-01,Oct 1,2020-05-18,-136,yes,exact,direct,NASBO Summaries of Fiscal Year 2021 Proposed & Enacted Budgets (nasbo.org),"Backfilled from the NASBO FY2021 enacted-budget narrative. Extracted quote: ""On May 18, Alabama Governor Kay Ivey signed..."""
Alabama,FY2022,2021-10-01,Oct 1,2021-05-01,-153,yes,month-level estimate,direct,NASBO Fiscal 2022 summary; aplusala.org 2021-04-29; governor.alabama.gov,"Ivey signed the $7.7B FY2022 Education Trust Fund and $2.5B General Fund budgets. NASBO records only 'in the spring'; the legislature passed the ETF budget in late April 2021 (Senate concurred Apr 29), so signing followed within days. Anchored to early May 2021 — exact day not located. AL FY starts Oct 1."
Alabama,FY2023,2022-10-01,Oct 1,2022-04-14,-170,yes,exact,direct,NASBO Summaries of Fiscal Year 2023 Enacted Budgets (nasbo.org),Ivey signed the $2.7B General Fund budget Apr 7 and the $8.3B Education Trust Fund budget Apr 14; date reflects completion of both. AL FY starts Oct 1.
Alabama,FY2024,2023-10-01,Oct 1,2023-06-01,-122,yes,exact,direct,NASBO FY2024 Enacted Budget Summaries (nasbo.org),Governor Kay Ivey signed the FY2024 General Fund and Education Trust Fund budgets; AL FY starts Oct 1
Alabama,FY2025,2024-10-01,Oct 1,2024-05-15,-139,yes,exact,direct,NASBO FY2025 Enacted Budget Summaries (nasbo.org),Governor Kay Ivey signed the FY2025 General Fund and Education Trust Fund budgets; AL FY starts Oct 1
