state,trifecta_2025,trifecta_2026,party_governor_2026,notes
Alabama,R,R,R,
Alaska,divided,divided,R,"Multipartisan coalitions in both chambers"
Arizona,divided,divided,D,"D governor; R legislature"
Arkansas,R,R,R,
California,D,D,D,
Colorado,D,D,D,
Connecticut,D,D,D,
Delaware,D,D,D,
Florida,R,R,R,
Georgia,R,R,R,
Hawaii,D,D,D,
Idaho,R,R,R,
Illinois,D,D,D,
Indiana,R,R,R,
Iowa,R,R,R,
Kansas,divided,divided,D,"D governor; R legislature"
Kentucky,divided,divided,D,"D governor; R supermajority legislature"
Louisiana,R,R,R,
Maine,D,D,D,
Maryland,D,D,D,
Massachusetts,D,D,D,
Michigan,divided,divided,D,"D governor; D Senate; R House (flipped 2024)"
Minnesota,divided,divided,D,"D governor; House split evenly after 2024"
Mississippi,R,R,R,
Missouri,R,R,R,
Montana,R,R,R,
Nebraska,R,R,R,"Unicameral; technically nonpartisan but R supermajority"
Nevada,divided,divided,R,"R governor; D legislature"
New Hampshire,R,R,R,"R governor Ayotte; R legislature"
New Jersey,D,D,D,
New Mexico,D,D,D,
New York,D,D,D,
North Carolina,divided,divided,D,"D governor Stein (won 2024); R supermajority legislature"
North Dakota,R,R,R,
Ohio,R,R,R,
Oklahoma,R,R,R,
Oregon,D,D,D,
Pennsylvania,divided,divided,D,"D governor Shapiro; R legislature"
Rhode Island,D,D,D,
South Carolina,R,R,R,
South Dakota,R,R,R,
Tennessee,R,R,R,
Texas,R,R,R,
Utah,R,R,R,"Longest running trifecta: R since 1985"
Vermont,divided,divided,R,"R governor Scott; D/P supermajority legislature"
Virginia,divided,D,D,"Flipped to D trifecta after 2025 (Spanberger won)"
Washington,D,D,D,
West Virginia,R,R,R,
Wisconsin,divided,divided,D,"D governor Evers; R legislature"
Wyoming,R,R,R,
